         349480367 function calls (341997083 primitive calls) in 308.596 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:204(SetuptoolsLegacyVersion)
     1994    0.001    0.000    0.002    0.000 __init__.py:2053(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:2070(NoDists)
     1282    0.000    0.000    0.000    0.000 __init__.py:2078(__bool__)
       18    0.000    0.000    0.003    0.000 __init__.py:2087(safe_listdir)
        1    0.000    0.000    0.000    0.000 __init__.py:209(parse_version)
      712    0.003    0.000    0.291    0.000 __init__.py:2108(distributions_from_metadata)
        1    0.000    0.000    0.000    0.000 __init__.py:211(_is_writable_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2120(_NestedClassGetter)
        1    0.000    0.000    0.000    0.000 __init__.py:2140(_InstanceMethodPickler)
        4    0.000    0.000    0.000    0.000 __init__.py:2153(register_namespace_handler)
      249    0.001    0.000    0.066    0.000 __init__.py:2171(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:219(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        4    0.000    0.000    0.000    0.000 __init__.py:219(_declare_state)
        1    0.000    0.000    0.636    0.636 __init__.py:22(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:2230(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
      179    0.001    0.000    0.065    0.000 __init__.py:2263(fixup_namespace_packages)
      151    0.001    0.000    0.003    0.000 __init__.py:2275(file_ns_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
       65    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
       14    0.000    0.000    0.000    0.000 __init__.py:2302(normalize_path)
     2114    0.000    0.000    0.001    0.000 __init__.py:2307(_normalize_cached)
        8    0.000    0.000    0.000    0.000 __init__.py:231(u)
       20    0.000    0.000    0.000    0.000 __init__.py:2315(_is_egg_path)
       20    0.000    0.000    0.000    0.000 __init__.py:2322(_is_unpacked_egg)
       53    0.000    0.000    0.000    0.000 __init__.py:234(u_safe)
     1430    0.002    0.000    0.008    0.000 __init__.py:2340(yield_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.001    0.001 __init__.py:2369(EntryPoint)
        1    0.000    0.000    0.000    0.000 __init__.py:239(LogRecord)
        1    0.000    0.000    0.005    0.005 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:243(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2446(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:2460(TimeoutError)
        2    0.000    0.000    0.000    0.000 __init__.py:247(set_level)
        1    0.000    0.000    0.000    0.000 __init__.py:25(tzfile)
        1    0.000    0.000    0.000    0.000 __init__.py:2501(_FuncInfo)
       14    0.000    0.000    0.000    0.000 __init__.py:2507(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
      356    0.001    0.000    0.211    0.001 __init__.py:2510(_version_from_file)
     1068    0.001    0.000    0.001    0.000 __init__.py:2515(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:2522(Distribution)
      358    0.001    0.000    0.016    0.000 __init__.py:2526(__init__)
      358    0.003    0.000    0.236    0.001 __init__.py:2538(from_location)
       75    0.000    0.000    0.000    0.000 __init__.py:255(set_function_name)
        2    0.000    0.000    0.000    0.000 __init__.py:2555(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:256(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:258(set_fileo)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:259(get_supported_platform)
        1    0.001    0.001    0.001    0.001 __init__.py:2595(_StringFuncParser)
     1253    0.001    0.000    0.002    0.000 __init__.py:2597(key)
        1    0.000    0.000    0.094    0.094 __init__.py:26(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(SetupEnvironment)
     1605    0.003    0.000    0.207    0.000 __init__.py:2683(_get_metadata)
      179    0.001    0.000    0.084    0.000 __init__.py:2688(activate)
     1253    0.001    0.000    0.002    0.000 __init__.py:2724(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:2730(from_filename)
        9    0.000    0.000    0.000    0.000 __init__.py:275(report)
      179    0.001    0.000    0.004    0.000 __init__.py:2769(insert_on)
      179    0.001    0.000    0.001    0.000 __init__.py:2795(<listcomp>)
        4    0.000    0.000    0.000    0.000 __init__.py:286(wrap)
        1    0.000    0.000    0.000    0.000 __init__.py:2879(EggInfoDistribution)
      356    0.001    0.000    0.213    0.001 __init__.py:2880(_reload_version)
        1    0.000    0.000    0.000    0.000 __init__.py:2898(DistInfoDistribution)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
